# Generated by tools/generate-coverage-catalog.py. Do not edit by hand.
#
# WSTG-* ids and names come verbatim from the vendored OWASP Web Security
# Testing Guide checklist (skills/engagement-state/data/wstg-checklist.md,
# CC BY-SA 4.0). NET-*/SRC-*/ART-*/PTES-* are Clicky's own additions for
# network-service and methodology coverage WSTG does not address.
#
# id	phase	title
WSTG-INPV-07	input	Testing for XML Injection
WSTG-INPV-08	input	Testing for SSI Injection
WSTG-INPV-09	input	Testing for XPath Injection
WSTG-INPV-10	input	Testing for IMAP SMTP Injection
WSTG-INPV-11	input	Testing for Code Injection
WSTG-INPV-12	input	Testing for Command Injection
WSTG-INPV-13	input	Testing for Format String Injection
WSTG-INPV-14	input	Testing for Incubated Vulnerabilities
WSTG-INPV-15	input	Testing for HTTP Splitting Smuggling
WSTG-INPV-16	input	Testing for HTTP Incoming Requests
WSTG-INPV-17	input	Testing for Host Header Injection
WSTG-INPV-18	input	Testing for Server-Side Template Injection
WSTG-INPV-19	input	Testing for Server-Side Request Forgery
WSTG-INPV-20	input	Testing for Mass Assignment
WSTG-ERRH-01	errors	Testing for Improper Error Handling
WSTG-ERRH-02	errors	Testing for Stack Traces
WSTG-CRYP-01	crypto	Testing for Weak Transport Layer Security
WSTG-CRYP-02	crypto	Testing for Padding Oracle
WSTG-CRYP-03	crypto	Testing for Sensitive Information Sent Via Unencrypted Channels
WSTG-CRYP-04	crypto	Testing for Weak Cryptographic Primitives
WSTG-BUSL-01	logic	Test Business Logic Data Validation
WSTG-BUSL-02	logic	Test Ability to Forge Requests
WSTG-BUSL-03	logic	Test Integrity Checks
WSTG-BUSL-04	logic	Test for Process Timing
WSTG-BUSL-05	logic	Test Number of Times a Function Can Be Used Limits
WSTG-BUSL-06	logic	Testing for the Circumvention of Work Flows
WSTG-BUSL-07	logic	Test Defenses Against Application Misuse
WSTG-BUSL-08	logic	Test Upload of Unexpected File Types
WSTG-BUSL-09	logic	Test Upload of Malicious Files
WSTG-BUSL-10	logic	Test Payment Functionality
WSTG-CLNT-01	client	Testing for DOM Based Cross Site Scripting
WSTG-CLNT-02	client	Testing for JavaScript Execution
WSTG-CLNT-03	client	Testing for HTML Injection
WSTG-CLNT-04	client	Testing for Client-Side URL Redirect
WSTG-CLNT-05	client	Testing for CSS Injection
WSTG-CLNT-06	client	Testing for Client-Side Resource Manipulation
WSTG-CLNT-07	client	Test Cross Origin Resource Sharing
WSTG-CLNT-08	client	Testing for Cross Site Flashing
WSTG-CLNT-09	client	Testing for Clickjacking
WSTG-CLNT-10	client	Testing WebSockets
WSTG-CLNT-11	client	Test Web Messaging
WSTG-CLNT-12	client	Test Browser Storage
WSTG-CLNT-13	client	Testing for Cross Site Script Inclusion
WSTG-CLNT-14	client	Testing for Reverse Tabnabbing
WSTG-APIT-01	api	API Reconnaissance
WSTG-APIT-02	api	API Broken Object Level Authorization
WSTG-APIT-99	api	Testing GraphQL
